,Unnamed: 0,Tm,Win%
0,0,BOS,58.9
1,1,DEN,50.7
2,2,VAN,42.5
3,3,LAL,59.4
4,4,POR,53.6
5,5,SAC,45.5
6,6,SYR,51.9
7,7,HOU,52.2
8,8,GSW,48.5
9,9,DAL,50.4
10,10,BUF,41.6
11,11,MIL,52.2
12,12,PIT,25.0
13,13,OKC,53.6
14,14,ATL,49.3
15,15,SEA,53.6
16,16,TOR,47.7
17,17,MIA,52.4
18,18,NYK,48.5
19,19,SDR,52.2
20,20,ORL,46.9
21,21,DET,48.0
22,22,NJN,43.9
23,23,PHO,53.4
24,24,SDA,38.4
25,25,BRK,43.9
26,26,MEM,42.5
27,27,CLE,46.2
28,28,CHI,51.1
29,29,CHA,44.1
30,30,CHH,44.1
31,31,WSB,45.2
32,32,MIN,39.6
33,33,SAS,59.4
34,34,NOP,46.0
35,35,LAC,41.6
36,36,KEN,60.2
37,37,UTA,54.5
38,38,PHI,51.9
39,39,WAS,45.2
40,40,INA,51.3
41,41,IND,51.3
42,42,NOH,46.0
43,43,FLO,46.3
44,44,SFW,48.5
45,45,ANA,54.1
46,46,NOK,46.0
47,47,OAK,43.9
48,48,KCK,45.5
49,49,SDC,41.6
50,50,NJA,43.9
51,51,DNR,50.7
52,52,CIN,45.5
53,53,STL,49.3
54,54,PHW,48.5
55,55,BLB,35.1
56,56,DTF,33.3
57,57,KCO,45.5
58,58,MMT,41.7
59,59,NYA,43.9
60,60,NYN,43.9
61,61,FTW,48.0
62,62,CHS,61.2
63,63,STB,51.5
64,64,PTC,44.1
65,65,INO,49.1
66,66,CHO,44.1
67,67,NOJ,54.5
68,68,SAA,59.4
69,69,BAL,45.2
70,70,SSL,44.9
71,71,VIR,43.9
72,72,CLR,50.0
73,73,WSC,57.9
74,74,WSA,43.9
75,75,UTS,54.1
76,76,DLC,59.4
77,77,MNL,59.4
78,78,PRO,27.4
79,79,TEX,59.4
80,80,HSM,44.9
81,81,DNA,50.7
82,82,MLH,49.3
83,83,CHZ,45.2
84,84,TRH,36.7
85,85,CHP,45.2
86,86,TRI,49.3
87,87,PTP,44.1
88,88,WAT,30.6
89,89,MMF,46.3
90,90,NOB,41.7
91,91,INJ,30.0
92,92,AND,57.8
93,93,SHE,35.5
94,94,DNN,17.7
95,95,MMS,41.7
96,96,CAR,44.9
97,97,LAS,54.1
98,98,MNP,44.1
99,99,SDS,38.4
100,100,ROC,45.5
101,101,CAP,45.2
102,102,MMP,41.7
103,103,MNM,46.3
