,Tm,Win%
0,BOS,58.9
1,DEN,50.7
2,VAN,42.5
3,LAL,59.4
4,POR,53.6
5,SAC,45.5
6,SYR,51.9
7,HOU,52.2
8,GSW,48.5
9,DAL,50.4
10,BUF,41.6
11,MIL,52.2
12,PIT,25.0
13,OKC,53.6
14,ATL,49.3
15,SEA,53.6
16,TOR,47.7
17,MIA,52.4
18,NYK,48.5
19,SDR,52.2
20,ORL,46.9
21,DET,48.0
22,NJN,43.9
23,PHO,53.4
24,SDA,38.4
25,BRK,43.9
26,MEM,42.5
27,CLE,46.2
28,CHI,51.1
29,CHA,44.1
30,CHH,44.1
31,WSB,45.2
32,MIN,39.6
33,SAS,59.4
34,NOP,46.0
35,LAC,41.6
36,KEN,60.2
37,UTA,54.5
38,PHI,51.9
39,WAS,45.2
40,INA,51.3
41,IND,51.3
42,NOH,46.0
43,FLO,46.3
44,SFW,48.5
45,ANA,54.1
46,NOK,46.0
47,OAK,43.9
48,KCK,45.5
49,SDC,41.6
50,NJA,43.9
51,DNR,50.7
52,CIN,45.5
53,STL,49.3
54,PHW,48.5
55,BLB,35.1
56,DTF,33.3
57,KCO,45.5
58,MMT,41.7
59,NYA,43.9
60,NYN,43.9
61,FTW,48.0
62,CHS,61.2
63,STB,51.5
64,PTC,44.1
65,INO,49.1
66,CHO,44.1
67,NOJ,54.5
68,SAA,59.4
69,BAL,45.2
70,SSL,44.9
71,VIR,43.9
72,CLR,50.0
73,WSC,57.9
74,WSA,43.9
75,UTS,54.1
76,DLC,59.4
77,MNL,59.4
78,PRO,27.4
79,TEX,59.4
80,HSM,44.9
81,DNA,50.7
82,MLH,49.3
83,CHZ,45.2
84,TRH,36.7
85,CHP,45.2
86,TRI,49.3
87,PTP,44.1
88,WAT,30.6
89,MMF,46.3
90,NOB,41.7
91,INJ,30.0
92,AND,57.8
93,SHE,35.5
94,DNN,17.7
95,MMS,41.7
96,CAR,44.9
97,LAS,54.1
98,MNP,44.1
99,SDS,38.4
100,ROC,45.5
101,CAP,45.2
102,MMP,41.7
103,MNM,46.3
